########################################
#NOBLES
########################################
baron_bolghar;Tarkan;Tarkan;Tarkan;;Tarkan;;;;;;;;;x
baron_female_bolghar;Kali;Kali;Kali;;Kali;;;;;;;;;x
baron_title_ruler_consort_bolghar;Tarkan;Tarkan;Tarkan;;Tarkan;;;;;;;;;x
baron_title_ruler_consort_female_bolghar;Kali;Kali;Kali;;Kali;;;;;;;;;x
count_bolghar;Komit;Komit;Komit;;Komit;;;;;;;;;x
count_female_bolghar;Kali;Kali;Kali;;Kali;;;;;;;;;x
count_title_ruler_consort_bolghar;Komit;Komit;Komit;;Komit;;;;;;;;;x
count_title_ruler_consort_female_bolghar;Kali;Kali;Kali;;Kali;;;;;;;;;x
duke_bolghar;Boila;Boila;Boila;;Boila;;;;;;;;;x
duke_female_bolghar;Kali;Kali;Kali;;Kali;;;;;;;;;x
duke_title_ruler_consort_bolghar;Boila;Boila;Boila;;Boila;;;;;;;;;x
duke_title_ruler_consort_female_bolghar;Kali;Kali;Kali;;Kali;;;;;;;;;x
king_bolghar;Kanasubigi;Kanasubigi;Kanasubigi;;Kanasubigi;;;;;;;;;x
king_female_bolghar;Khanum;Khanum;Khanum;;Khanum;;;;;;;;;x
king_title_ruler_consort_bolghar;Kanasubigi;Kanasubigi;Kanasubigi;;Kanasubigi;;;;;;;;;x
king_title_ruler_consort_female_bolghar;Khanum;Khanum;Khanum;;Khanum;;;;;;;;;x
emperor_bolghar;Khagan;Khagan;Khagan;;Khagan;;;;;;;;;x
emperor_female_bolghar;Khatun;Khatun;Khatun;;Khatun;;;;;;;;;x
emperor_title_ruler_consort_bolghar;Khagan;Khagan;Khagan;;Khagan;;;;;;;;;x
emperor_title_ruler_consort_female_bolghar;Khatun;Khatun;Khatun;;Khatun;;;;;;;;;x
title_prince_baron_bolghar;Kanartikin;Kanartikin;Kanartikin;;Kanartikin;;;;;;;;;x
city_baron_bulgarian;Bori-Tarkan;Bori-Tarkan;Bori-Tarkan;;Bori-Tarkan;;;;;;;;;x
city_count_bolghar;Bori-Tarkan;Bori-Tarkan;Bori-Tarkan;;Bori-Tarkan;;;;;;;;;x
city_duke_bolghar;Oglu-Tarkan;Oglu-Tarkan;Oglu-Tarkan;;Oglu-Tarkan;;;;;;;;;x
city_king_bolghar;Oglu-Tarkan;Oglu-Tarkan;Oglu-Tarkan;;Oglu-Tarkan;;;;;;;;;x
city_emperor_bolghar;Oglu-Tarkan;Oglu-Tarkan;Oglu-Tarkan;;Oglu-Tarkan;;;;;;;;;x
########################################
#TRIBAL
########################################
tribal_duke_bolghar;Boil;Boil;Boil;;Boil;;;;;;;;;x
tribal_duke_female_bolghar;Kali;Kali;Kali;;Kali;;;;;;;;;x
tribal_duke_title_ruler_consort_bolghar;Boil;Boil;Boil;;Boil;;;;;;;;;x
tribal_duke_title_ruler_consort_female_bolghar;Kali;Kali;Kali;;Kali;;;;;;;;;x
tribal_king_bolghar;Kanasubigi;Kanasubigi;Kanasubigi;;Kanasubigi;;;;;;;;;x
tribal_king_female_bolghar;Khanum;Khanum;Khanum;;Khanum;;;;;;;;;x
tribal_king_title_ruler_consort_bolghar;Kanasubigi;Kanasubigi;Kanasubigi;;Kanasubigi;;;;;;;;;x
tribal_king_title_ruler_consort_female_bolghar;Khanum;Khanum;Khanum;;Khanum;;;;;;;;;x
tribal_emperor_bolghar;Khagan;Khagan;Khagan;;Khagan;;;;;;;;;x
tribal_emperor_female_bolghar;Khatun;Khatun;Khatun;;Khatun;;;;;;;;;x
tribal_emperor_title_ruler_consort_bolghar;Khagan;Khagan;Khagan;;Khagan;;;;;;;;;x
tribal_emperor_title_ruler_consort_female_bolghar;Khatun;Khatun;Khatun;;Khatun;;;;;;;;;x
########################################
#TITLES
########################################
########################################
#JOBS
########################################
job_marshal_bolghar;Ichirgu-boila;Ichirgu-boila;Ichirgu-boila;;Ichirgu-boila;;;;;;;;;x
job_treasurer_bolghar;Kavhan;Kavhan;Kavhan;;Kavhan;;;;;;;;;x
########################################
#MINOR
########################################
title_designated_heir_bolghar;Kanartikin;Kanartikin;Kanartikin;;Kanartikin;;;;;;;;;x
title_master_of_the_horse_bolghar;Minik;Minik;Minik;;Minik;;;;;;;;;x
