########################################;;;;;;;;;;;;;;
#NOBLES;;;;;;;;;;;;;;
########################################;;;;;;;;;;;;;;
baron_english;Baroun;Baroun;Baroun;Baroun;;;;;;;;;x
baron_female_english;Barounesse;Barounesse;Barounesse;Barounesse;;;;;;;;;x
baron_title_ruler_consort_female_english;Lavedi;Lavedi;Lavedi;Lavedi;;;;;;;;;x
city_baron_english;Baili;Baili;Baili;Baili;;;;;;;;;x
city_count_english;Schirreve;Schirreve;Schirreve;;Schirreve;;;;;;;;;x
city_duke_english;Lord Wardein;Lord Wardein;Lord Wardein;Lord Wardein;;;;;;;;;x
count_english;Erl;Erl;Erl;;Erl;;;;;;;;;x
count_female_english;Countesse;Countesse;Countesse;;Countesse;;;;;;;;;x
duke_english;Duc;Duc;Duc;Duc;;;;;;;;;x
duke_female_english;Duchesse;Duchesse;Duchesse;Duchesse;;;;;;;;;x
emperor_english;Emperour;Emperour;Emperour;Emperour;;;;;;;;;x
emperor_female_english;Emperesse;Emperesse;Emperesse;Emperesse;;;;;;;;;x
king_female_english;Quene;Quene;Quene;Quene;;;;;;;;;x
temple_baron_english_catholic;Bischop;Bischop;Bischop;Bischop;;;;;;;;;x
temple_count_english_catholic;Prince-Bischop;Prince-Bischop;Prince-Bischop;Prince-Bischop;;;;;;;;;x
temple_duke_english_catholic;Prince-Archebischop;Prince-Archebischop;;Prince-Archebischop;;Prince-Archebischop;;;;;;;;;x
########################################;;;;;;;;;;;;;;
#TITLES;;;;;;;;;;;;;;
########################################;;;;;;;;;;;;;;
barony_of_english;Baronie of;Baronie of;Baronie of;Baronie of;;;;;;;;;x
city_barony_of_english;Burgh of;Burgh of;Burgh of;Burgh of;;;;;;;;;x
city_county_of_english;Schire of;Schire of;Schire of;Schire of;;;;;;;;;x
city_duchy_of_english;Confœderation of;Confœderation of;Confœderation of;Confœderation of;;;;;;;;;x
county_of_english;Counte of;Counte of;Counte of;Counte of;;;;;;;;;x
duchy_of_english;Duche of;Duche of;Duche of;Duche of;;;;;;;;;x
temple_barony_of_english_catholic;Bischoprick;Bischoprick;Bischoprick;Bischoprick;;;;;;;;;x
temple_county_of_english_catholic;Prince-Bischoprick;Prince-Bischoprick;Prince-Bischoprick;Prince-Bischoprick;;;;;;;;;x
temple_duchy_of_english_catholic;Prince-Archebischoprick;Prince-Archebischoprick;Prince-Archebischoprick;Prince-Archebischoprick;;;;;;;;;x
########################################;;;;;;;;;;;;;;
#JOBS;;;;;;;;;;;;;;
########################################;;;;;;;;;;;;;;
########################################;;;;;;;;;;;;;;
#MINOR;;;;;;;;;;;;;;
########################################;;;;;;;;;;;;;;
title_prince_female_english;Lavedi;Lavedi;Lavedi;Lavedi;;;;;;;;;x;;;;;;;;;;;;;;
title_queen_mother_english;Quene Moder;Quene Moder;Quene Moder;;Quene Moder;;;;;;;;;x

