b_alexandria_adj_romanian;Alexãndresc;;;;;;;;;;;;;x
b_antiocheia_adj_romanian;Antiohian;;;;;;;;;;;;;x
b_athens_adj_romanian;Ateneu;;;;;;;;;;;;;x
b_belgrade_adj_romanian;Belgrãdean;;;;;;;;;;;;;x
b_belogradchik_adj_romanian;Belgrãdean;;;;;;;;;;;;;x
b_bilina_adj_romanian;Bilnitean;;;;;;;;;;;;;x
b_branicevo_adj_romanian;Branicevean;;;;;;;;;;;;;x
b_broumovkladsko_adj_romanian;Brumesc;;;;;;;;;;;;;x
b_cernauti_adj_romanian;Cernãutean;;;;;;;;;;;;;x
b_chernobel_adj_romanian;Cernobâlesc;;;;;;;;;;;;;x
b_chilia_adj_romanian;Chilian;;;;;;;;;;;;;x
b_constantia_adj_romanian;Constãntean;;;;;;;;;;;;;x
b_csurgo_adj_romanian;Ciurgesc;;;;;;;;;;;;;x
b_debrc_adj_romanian;Debretean;;;;;;;;;;;;;x
b_dioclea_adj_romanian;Doclean;;;;;;;;;;;;;x
b_esztergom_adj_romanian;Strigonesc;;;;;;;;;;;;;x
b_grobnik_vinodol_adj_romanian;Grobnicesc;;;;;;;;;;;;;x
b_hradiste_adj_romanian;Grãdishtean;;;;;;;;;;;;;x
b_kalisz_adj_romanian;Setidãvean;;;;;;;;;;;;;x
b_kassa_adj_romanian;Cashovesc;;;;;;;;;;;;;x
b_kastoria_adj_romanian;Custurean;;;;;;;;;;;;;x
b_khortytsia_adj_romanian;Hortîtean;;;;;;;;;;;;;x
b_khotynchernivstskij_adj_romanian;Hotinesc;;;;;;;;;;;;;x
b_konstanz_adj_romanian;Constãntean;;;;;;;;;;;;;x
b_korchev_adj_romanian;Bosforesc;;;;;;;;;;;;;x
b_kucevo_adj_romanian;Cuciovean;;;;;;;;;;;;;x
b_miskolc_adj_romanian;Mishcoltesc;;;;;;;;;;;;;x
b_moskva_adj_romanian;Moscovean;;;;;;;;;;;;;x
b_nagykapos_adj_romanian;Cãpushan;;;;;;;;;;;;;x
b_oryahovo_adj_romanian;Rahovan;;;;;;;;;;;;;x
b_ovruch_adj_romanian;Ovrucesc;;;;;;;;;;;;;x
b_pecs_adj_romanian;Becesc;;;;;;;;;;;;;x
b_perushtitsa_adj_romanian;Perushitean;;;;;;;;;;;;;x
b_petrich_adj_romanian;Petricean;;;;;;;;;;;;;x
b_podgorica_adj_romanian;Podgorean;;;;;;;;;;;;;x
b_poznan_adj_romanian;Posnan;;;;;;;;;;;;;x
b_pristina_adj_romanian;Prishtinean;;;;;;;;;;;;;x
b_rzeszow_adj_romanian;Reshovesc;;;;;;;;;;;;;x
b_sudovavyshnia_adj_romanian;Vîshnesc;;;;;;;;;;;;;x
b_szatmarvar_adj_romanian;Sãtmãrean;;;;;;;;;;;;;x
b_szeghalom_adj_romanian;Cuian;;;;;;;;;;;;;x
b_szejesfehervar_adj_romanian;Albesc;;;;;;;;;;;;;x
b_szekelyhid_adj_romanian;Sãcuian;;;;;;;;;;;;;x
b_szentmaratonhegy_adj_romanian;Sânmartinesc;;;;;;;;;;;;;x
b_thorn_adj_romanian;Turnesc;;;;;;;;;;;;;x
b_tulcea_adj_romanian;Tulcean;;;;;;;;;;;;;x
b_tysmenytsya_adj_romanian;Tismen;;;;;;;;;;;;;x
b_valkovar_adj_romanian;Vâlcãu;;;;;;;;;;;;;x
b_veles_adj_romanian;Velescirean;;;;;;;;;;;;;x
b_venezia_adj_romanian;Venetian;;;;;;;;;;;;;x
b_vinnytsia_adj_romanian;Vinitean;;;;;;;;;;;;;x
b_wien_adj_romanian;Vienez;;;;;;;;;;;;;x
b_zhitomir_adj_romanian;Jîtomîresc;;;;;;;;;;;;;x
b_zilah_adj_romanian;Zãlãuan;;;;;;;;;;;;;x
b_zvecan_adj_romanian;Zvecean;;;;;;;;;;;;;x
c_alexandria_adj_romanian;Alexãndresc;;;;;;;;;;;;;x
c_antiocheia_adj_romanian;Antiohian;;;;;;;;;;;;;x
c_arcadia_adj_romanian;Arcadian;;;;;;;;;;;;;x
c_atheniai_adj_romanian;Ateneu;;;;;;;;;;;;;x
c_belgrade_adj_romanian;Belgrãdean;;;;;;;;;;;;;x
c_branicevo_adj_romanian;Branicevean;;;;;;;;;;;;;x
c_chortitza_adj_romanian;Hortîtean;;;;;;;;;;;;;x
c_corsica_adj_romanian;Corsican;;;;;;;;;;;;;x
c_crimea_adj_romanian;Crimeean;;;;;;;;;;;;;x
c_dorostotum_adj_romanian;Dârstorean;;;;;;;;;;;;;x
c_esztergom_adj_romanian;Strigonesc;;;;;;;;;;;;;x
c_fejer_adj_romanian;Albesc;;;;;;;;;;;;;x
c_gotland_adj_romanian;Got;;;;;;;;;;;;;x
c_holland_adj_romanian;Olandez;;;;;;;;;;;;;x
c_iskorosten_adj_romanian;Ovrucesc;;;;;;;;;;;;;x
