ADA_female_venetian;Arciduchessa;Arciduchessa;Arciduchessa;;Arciduchessa;;;;;;;;;x
ADA_OF_venetian;Arciducato di;Arciducato di;Arciducato di;;Arciducato di;;;;;;;;;x
ADA_venetian;Arciduca;Arciduca;Arciduca;;Arciduca;;;;;;;;;x
baron_female_venetian;Baronessa;Baronessa;Baronessa;;Baronessa;;;;;;;;;x
baron_title_ruler_consort_female_venetian;Baronessa;Baronessa;Baronessa;;Baronessa;;;;;;;;;x
baron_title_ruler_consort_venetian;Barone;Barone;Barone;;Barone;;;;;;;;;x
baron_venetian;Barone;Barone;Barone;;Barone;;;;;;;;;x
BURGRAVE_OF_venetian;Burgraviato di;Burgraviato di;Burgraviato di;;Burgraviato di;;;;;;;;;x
BURGRAVE_venetian;Burgravio;Burgravio;Burgravio;;Burgravio;;;;;;;;;x
BURGRAVINE_venetian;Burgravia;Burgravia;Burgravia;;Burgravia;;;;;;;;;x
CEPALATIN_venetian;Contessa Palatina;Contessa Palatina;Contessa Palatina;;Contessa Palatina;;;;;;;;;x
city_baron_female_venetian;Sindaco;Sindaco;Sindaco;;Sindaco;;;;;;;;;x
city_baron_venetian;Sindaco;Sindaco;Sindaco;;Sindaco;;;;;;;;;x
city_barony_of_venetian;Comune di;Comune di;Comune di;;Comune di;;;;;;;;;x
city_barony_venetian;Comune;Comune;Comune;;Comune;;;;;;;;;x
city_count_female_venetian;Podestà;Podestà;Podestà;;Podestà;;;;;;;;;x
city_count_venetian;Podestà;Podestà;Podestà;;Podestà;;;;;;;;;x
city_county_of_venetian;Comune di;Comune di;Comune di;;Comune di;;;;;;;;;x
city_county_venetian;Comune;Comune;Comune;;Comune;;;;;;;;;x
city_duchy_of_venetian;Repubblica di;Repubblica di;Repubblica di;;Repubblica di;;;;;;;;;x
city_duchy_venetian;Repubblica;Repubblica;Repubblica;;Repubblica;;;;;;;;;x
city_empire_of_venetian;Serenissima Repubblica di;Serenissima Repubblica di;Serenissima Repubblica di;;Serenissima Repubblica di;;;;;;;;;x
