ADA_female_laziale;Arciduchessa;Arciduchessa;Arciduchessa;;Arciduchessa;;;;;;;;;x
ADA_laziale;Arciduca;Arciduca;Arciduca;;Arciduca;;;;;;;;;x
ADA_OF_laziale;Arciducato di;Arciducato di;Arciducato di;;Arciducato di;;;;;;;;;x
baron_female_laziale;Baronessa;Baronessa;Baronessa;;Baronessa;;;;;;;;;x
baron_laziale;Barone;Barone;Barone;;Barone;;;;;;;;;x
baron_title_ruler_consort_female_laziale;Baronessa;Baronessa;Baronessa;;Baronessa;;;;;;;;;x
baron_title_ruler_consort_laziale;Barone;Barone;Barone;;Barone;;;;;;;;;x
BURGRAVE_laziale;Burgravio;Burgravio;Burgravio;;Burgravio;;;;;;;;;x
BURGRAVE_OF_laziale;Burgraviato di;Burgraviato di;Burgraviato di;;Burgraviato di;;;;;;;;;x
BURGRAVINE_laziale;Burgravia;Burgravia;Burgravia;;Burgravia;;;;;;;;;x
CEPALATIN_laziale;Contessa Palatina;Contessa Palatina;Contessa Palatina;;Contessa Palatina;;;;;;;;;x
city_baron_female_laziale;Sindaco;Sindaco;Sindaco;;Sindaco;;;;;;;;;x
city_baron_laziale;Sindaco;Sindaco;Sindaco;;Sindaco;;;;;;;;;x
city_barony_laziale;Comune;Comune;Comune;;Comune;;;;;;;;;x
city_barony_of_laziale;Comune di;Comune di;Comune di;;Comune di;;;;;;;;;x
city_count_female_laziale;Podestà;Podestà;Podestà;;Podestà;;;;;;;;;x
city_count_laziale;Podestà;Podestà;Podestà;;Podestà;;;;;;;;;x
city_county_laziale;Comune;Comune;Comune;;Comune;;;;;;;;;x
city_county_of_laziale;Comune di;Comune di;Comune di;;Comune di;;;;;;;;;x
city_duchy_laziale;Repubblica;Repubblica;Repubblica;;Repubblica;;;;;;;;;x
city_duchy_of_laziale;Repubblica di;Repubblica di;Repubblica di;;Repubblica di;;;;;;;;;x
city_empire_laziale;Serenissima Repubblica;Serenissima Repubblica;Serenissima Repubblica;;Serenissima Repubblica;;;;;;;;;x
city_empire_of_laziale;Serenissima Repubblica di;Serenissima Repubblica di;Serenissima Repubblica di;;Serenissima Repubblica di;;;;;;;;;x
city_kingdom_laziale;Serenissima Repubblica;Serenissima Repubblica;Serenissima Repubblica;;Serenissima Repubblica;;;;;;;;;x
