ADA_female_tuscan;Arciduchessa;Arciduchessa;Arciduchessa;;Arciduchessa;;;;;;;;;x
ADA_OF_tuscan;Arciducato di;Arciducato di;Arciducato di;;Arciducato di;;;;;;;;;x
ADA_tuscan;Arciduca;Arciduca;Arciduca;;Arciduca;;;;;;;;;x
baron_female_tuscan;Baronessa;Baronessa;Baronessa;;Baronessa;;;;;;;;;x
baron_title_ruler_consort_female_tuscan;Baronessa;Baronessa;Baronessa;;Baronessa;;;;;;;;;x
baron_title_ruler_consort_tuscan;Barone;Barone;Barone;;Barone;;;;;;;;;x
baron_tuscan;Barone;Barone;Barone;;Barone;;;;;;;;;x
BURGRAVE_OF_tuscan;Burgraviato di;Burgraviato di;Burgraviato di;;Burgraviato di;;;;;;;;;x
BURGRAVE_tuscan;Burgravio;Burgravio;Burgravio;;Burgravio;;;;;;;;;x
BURGRAVINE_tuscan;Burgravia;Burgravia;Burgravia;;Burgravia;;;;;;;;;x
CEPALATIN_tuscan;Contessa Palatina;Contessa Palatina;Contessa Palatina;;Contessa Palatina;;;;;;;;;x
city_baron_female_tuscan;Sindaco;Sindaco;Sindaco;;Sindaco;;;;;;;;;x
city_baron_tuscan;Sindaco;Sindaco;Sindaco;;Sindaco;;;;;;;;;x
city_barony_of_tuscan;Comune di;Comune di;Comune di;;Comune di;;;;;;;;;x
city_barony_tuscan;Comune;Comune;Comune;;Comune;;;;;;;;;x
city_count_female_tuscan;Podestà;Podestà;Podestà;;Podestà;;;;;;;;;x
city_count_tuscan;Podestà;Podestà;Podestà;;Podestà;;;;;;;;;x
city_county_of_tuscan;Comune di;Comune di;Comune di;;Comune di;;;;;;;;;x
city_county_tuscan;Comune;Comune;Comune;;Comune;;;;;;;;;x
city_duchy_of_tuscan;Repubblica di;Repubblica di;Repubblica di;;Repubblica di;;;;;;;;;x
city_duchy_tuscan;Repubblica;Repubblica;Repubblica;;Repubblica;;;;;;;;;x
city_empire_of_tuscan;Serenissima Repubblica di;Serenissima Repubblica di;Serenissima Repubblica di;;Serenissima Repubblica di;;;;;;;;;x
city_empire_tuscan;Serenissima Repubblica;Serenissima Repubblica;Serenissima Repubblica;;Serenissima Repubblica;;;;;;;;;x
city_kingdom_of_tuscan;Serenissima Repubblica di;Serenissima Repubblica di;Serenissima Repubblica di;;Serenissima Repubblica di;;;;;;;;;x
