ADA_female_langobardisch;Arciduchessa;Arciduchessa;Arciduchessa;;Arciduchessa;;;;;;;;;x
ADA_langobardisch;Arciduca;Arciduca;Arciduca;;Arciduca;;;;;;;;;x
ADA_OF_langobardisch;Arciducato di;Arciducato di;Arciducato di;;Arciducato di;;;;;;;;;x
baron_female_langobardisch;Baronessa;Baronessa;Baronessa;;Baronessa;;;;;;;;;x
baron_langobardisch;Barone;Barone;Barone;;Barone;;;;;;;;;x
baron_title_ruler_consort_female_langobardisch;Baronessa;Baronessa;Baronessa;;Baronessa;;;;;;;;;x
baron_title_ruler_consort_langobardisch;Barone;Barone;Barone;;Barone;;;;;;;;;x
BURGRAVE_langobardisch;Burgravio;Burgravio;Burgravio;;Burgravio;;;;;;;;;x
BURGRAVE_OF_langobardisch;Burgraviato di;Burgraviato di;Burgraviato di;;Burgraviato di;;;;;;;;;x
BURGRAVINE_langobardisch;Burgravia;Burgravia;Burgravia;;Burgravia;;;;;;;;;x
CEPALATIN_langobardisch;Contessa Palatina;Contessa Palatina;Contessa Palatina;;Contessa Palatina;;;;;;;;;x
city_baron_female_langobardisch;Sindaco;Sindaco;Sindaco;;Sindaco;;;;;;;;;x
city_baron_langobardisch;Sindaco;Sindaco;Sindaco;;Sindaco;;;;;;;;;x
city_barony_langobardisch;Comune;Comune;Comune;;Comune;;;;;;;;;x
city_barony_of_langobardisch;Comune di;Comune di;Comune di;;Comune di;;;;;;;;;x
city_count_female_langobardisch;Podestà;Podestà;Podestà;;Podestà;;;;;;;;;x
city_count_langobardisch;Podestà;Podestà;Podestà;;Podestà;;;;;;;;;x
city_county_langobardisch;Comune;Comune;Comune;;Comune;;;;;;;;;x
city_county_of_langobardisch;Comune di;Comune di;Comune di;;Comune di;;;;;;;;;x
city_duchy_langobardisch;Repubblica;Repubblica;Repubblica;;Repubblica;;;;;;;;;x
city_duchy_of_langobardisch;Repubblica di;Repubblica di;Repubblica di;;Repubblica di;;;;;;;;;x
city_empire_langobardisch;Serenissima Repubblica;Serenissima Repubblica;Serenissima Repubblica;;Serenissima Repubblica;;;;;;;;;x
city_empire_of_langobardisch;Serenissima Repubblica di;Serenissima Repubblica di;Serenissima Repubblica di;;Serenissima Repubblica di;;;;;;;;;x
city_kingdom_langobardisch;Serenissima Repubblica;Serenissima Repubblica;Serenissima Repubblica;;Serenissima Repubblica;;;;;;;;;x
city_kingdom_of_langobardisch;Serenissima Repubblica di;Serenissima Repubblica di;Serenissima Repubblica di;;Serenissima Repubblica di;;;;;;;;;x
COPTIC_POPE_langobardisch;Papa Copta;Papa Copta;Papa Copta;;Papa Copta;;;;;;;;;x
count_female_langobardisch;Contessa;Contessa;Contessa;;Contessa;;;;;;;;;x
count_langobardisch;Conte;Conte;Conte;;Conte;;;;;;;;;x
count_title_ruler_consort_female_langobardisch;Contessa;Contessa;Contessa;;Contessa;;;;;;;;;x
count_title_ruler_consort_langobardisch;Conte;Conte;Conte;;Conte;;;;;;;;;x
county_langobardisch;Contea;Contea;Contea;;Contea;;;;;;;;;x
county_of_langobardisch;Contea di;Contea di;Contea di;;Contea di;;;;;;;;;x
CPALATIN_langobardisch;Conte Palatina;Conte Palatina;Conte Palatina;;Conte Palatina;;;;;;;;;x
CPALATIN_OF_langobardisch;Contea Palatina di;Contea Palatina di;Contea Palatina di;;Contea Palatina di;;;;;;;;;x
DB_female_langobardisch;Duchessa;Duchessa;Duchessa;;Duchessa;;;;;;;;;x
DB_langobardisch;Duca;Duca;Duca;;Duca;;;;;;;;;x
