ADA_female_sicilian;Arciduchessa;Arciduchessa;Arciduchessa;;Arciduchessa;;;;;;;;;x
ADA_OF_sicilian;Arciducato di;Arciducato di;Arciducato di;;Arciducato di;;;;;;;;;x
ADA_sicilian;Arciduca;Arciduca;Arciduca;;Arciduca;;;;;;;;;x
baron_female_sicilian;Baronessa;Baronessa;Baronessa;;Baronessa;;;;;;;;;x
baron_sicilian;Barone;Barone;Barone;;Barone;;;;;;;;;x
baron_title_ruler_consort_female_sicilian;Baronessa;Baronessa;Baronessa;;Baronessa;;;;;;;;;x
baron_title_ruler_consort_sicilian;Barone;Barone;Barone;;Barone;;;;;;;;;x
BURGRAVE_OF_sicilian;Burgraviato di;Burgraviato di;Burgraviato di;;Burgraviato di;;;;;;;;;x
BURGRAVE_sicilian;Burgravio;Burgravio;Burgravio;;Burgravio;;;;;;;;;x
BURGRAVINE_sicilian;Burgravia;Burgravia;Burgravia;;Burgravia;;;;;;;;;x
CEPALATIN_sicilian;Contessa Palatina;Contessa Palatina;Contessa Palatina;;Contessa Palatina;;;;;;;;;x
city_baron_female_sicilian;Sindaco;Sindaco;Sindaco;;Sindaco;;;;;;;;;x
city_baron_sicilian;Sindaco;Sindaco;Sindaco;;Sindaco;;;;;;;;;x
city_barony_of_sicilian;Comune di;Comune di;Comune di;;Comune di;;;;;;;;;x
city_barony_sicilian;Comune;Comune;Comune;;Comune;;;;;;;;;x
city_count_female_sicilian;Podestà;Podestà;Podestà;;Podestà;;;;;;;;;x
city_count_sicilian;Podestà;Podestà;Podestà;;Podestà;;;;;;;;;x
city_county_of_sicilian;Comune di;Comune di;Comune di;;Comune di;;;;;;;;;x
city_county_sicilian;Comune;Comune;Comune;;Comune;;;;;;;;;x
city_duchy_of_sicilian;Repubblica di;Repubblica di;Repubblica di;;Repubblica di;;;;;;;;;x
city_duchy_sicilian;Repubblica;Repubblica;Repubblica;;Repubblica;;;;;;;;;x
city_empire_of_sicilian;Serenissima Repubblica di;Serenissima Repubblica di;Serenissima Repubblica di;;Serenissima Repubblica di;;;;;;;;;x
city_empire_sicilian;Serenissima Repubblica;Serenissima Repubblica;Serenissima Repubblica;;Serenissima Repubblica;;;;;;;;;x
