ADA_female_umbrian;Arciduchessa;Arciduchessa;Arciduchessa;;Arciduchessa;;;;;;;;;x
ADA_OF_umbrian;Arciducato di;Arciducato di;Arciducato di;;Arciducato di;;;;;;;;;x
ADA_umbrian;Arciduca;Arciduca;Arciduca;;Arciduca;;;;;;;;;x
baron_female_umbrian;Baronessa;Baronessa;Baronessa;;Baronessa;;;;;;;;;x
baron_title_ruler_consort_female_umbrian;Baronessa;Baronessa;Baronessa;;Baronessa;;;;;;;;;x
baron_title_ruler_consort_umbrian;Barone;Barone;Barone;;Barone;;;;;;;;;x
baron_umbrian;Barone;Barone;Barone;;Barone;;;;;;;;;x
BURGRAVE_OF_umbrian;Burgraviato di;Burgraviato di;Burgraviato di;;Burgraviato di;;;;;;;;;x
BURGRAVE_umbrian;Burgravio;Burgravio;Burgravio;;Burgravio;;;;;;;;;x
BURGRAVINE_umbrian;Burgravia;Burgravia;Burgravia;;Burgravia;;;;;;;;;x
CEPALATIN_umbrian;Contessa Palatina;Contessa Palatina;Contessa Palatina;;Contessa Palatina;;;;;;;;;x
city_baron_female_umbrian;Sindaco;Sindaco;Sindaco;;Sindaco;;;;;;;;;x
city_baron_umbrian;Sindaco;Sindaco;Sindaco;;Sindaco;;;;;;;;;x
city_barony_of_umbrian;Comune di;Comune di;Comune di;;Comune di;;;;;;;;;x
city_barony_umbrian;Comune;Comune;Comune;;Comune;;;;;;;;;x
city_count_female_umbrian;Podestà;Podestà;Podestà;;Podestà;;;;;;;;;x
city_count_umbrian;Podestà;Podestà;Podestà;;Podestà;;;;;;;;;x
city_county_of_umbrian;Comune di;Comune di;Comune di;;Comune di;;;;;;;;;x
city_county_umbrian;Comune;Comune;Comune;;Comune;;;;;;;;;x
city_duchy_of_umbrian;Repubblica di;Repubblica di;Repubblica di;;Repubblica di;;;;;;;;;x
city_duchy_umbrian;Repubblica;Repubblica;Repubblica;;Repubblica;;;;;;;;;x
city_empire_of_umbrian;Serenissima Repubblica di;Serenissima Repubblica di;Serenissima Repubblica di;;Serenissima Repubblica di;;;;;;;;;x
city_empire_umbrian;Serenissima Repubblica;Serenissima Repubblica;Serenissima Repubblica;;Serenissima Repubblica;;;;;;;;;x
city_kingdom_of_umbrian;Serenissima Repubblica di;Serenissima Repubblica di;Serenissima Repubblica di;;Serenissima Repubblica di;;;;;;;;;x
city_kingdom_umbrian;Serenissima Repubblica;Serenissima Repubblica;Serenissima Repubblica;;Serenissima Repubblica;;;;;;;;;x
COPTIC_POPE_umbrian;Papa Copta;Papa Copta;Papa Copta;;Papa Copta;;;;;;;;;x
count_female_umbrian;Contessa;Contessa;Contessa;;Contessa;;;;;;;;;x
count_title_ruler_consort_female_umbrian;Contessa;Contessa;Contessa;;Contessa;;;;;;;;;x
count_title_ruler_consort_umbrian;Conte;Conte;Conte;;Conte;;;;;;;;;x
count_umbrian;Conte;Conte;Conte;;Conte;;;;;;;;;x
county_of_umbrian;Contea di;Contea di;Contea di;;Contea di;;;;;;;;;x
county_umbrian;Contea;Contea;Contea;;Contea;;;;;;;;;x
CPALATIN_OF_umbrian;Contea Palatina di;Contea Palatina di;Contea Palatina di;;Contea Palatina di;;;;;;;;;x
CPALATIN_umbrian;Conte Palatina;Conte Palatina;Conte Palatina;;Conte Palatina;;;;;;;;;x
DB_female_umbrian;Duchessa;Duchessa;Duchessa;;Duchessa;;;;;;;;;x
DB_OF_umbrian;Ducato di;Ducato di;Ducato di;;Ducato di;;;;;;;;;x
DB_umbrian;Duca;Duca;Duca;;Duca;;;;;;;;;x
DM_female_umbrian;Margravia;Margravia;Margravia;;Margravia;;;;;;;;;x
DM_OF_umbrian;Margraviato di;Margraviato di;Margraviato di;;Margraviato di;;;;;;;;;x
DM_umbrian;Margravio;Margravio;Margravio;;Margravio;;;;;;;;;x
duchy_of_umbrian;Ducato di;Ducato di;Ducato di;;Ducato di;;;;;;;;;x
duchy_umbrian;Ducato;Ducato;Ducato;;Ducato;;;;;;;;;x
duke_female_umbrian;Duchessa;Duchessa;Duchessa;;Duchessa;;;;;;;;;x
duke_title_ruler_consort_female_umbrian;Duchessa;Duchessa;Duchessa;;Duchessa;;;;;;;;;x
duke_title_ruler_consort_umbrian;Duca;Duca;Duca;;Duca;;;;;;;;;x
duke_umbrian;Duca;Duca;Duca;;Duca;;;;;;;;;x
ECUMENICAL_PATRIARCH_umbrian;Patriarca Ecumenico;Patriarca Ecumenico;Patriarca Ecumenico;;Patriarca Ecumenico;;;;;;;;;x
emperor_female_umbrian;Imperatrice;Imperatrice;Imperatrice;;Imperatrice;;;;;;;;;x
emperor_title_ruler_consort_female_umbrian;Imperatrice;Imperatrice;Imperatrice;;Imperatrice;;;;;;;;;x
emperor_title_ruler_consort_umbrian;Imperatore;Imperatore;Imperatore;;Imperatore;;;;;;;;;x
emperor_umbrian;Imperatore;Imperatore;Imperatore;;Imperatore;;;;;;;;;x
empire_of_umbrian;Impero di;Impero di;Impero di;;Impero di;;;;;;;;;x
